mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf,param_clf__max_depth,param_clf__max_samples,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
548.7467107772827,44.982000867616186,6.514096212387085,0.32057882070999383,RandomForestClassifier(n_estimators=250),,,250,"{'clf': RandomForestClassifier(n_estimators=250), 'clf__max_depth': None, 'clf__max_samples': None, 'clf__n_estimators': 250}",0.796191247974068,0.8444084278768234,0.8238249594813615,0.5498014425804361,0.6199854121079504,0.7268422980041278,0.11899459394020022,1
217.322780418396,7.84076947329315,1.875787115097046,0.18521662629951904,RandomForestClassifier(n_estimators=250),,,100,"{'clf': RandomForestClassifier(n_estimators=250), 'clf__max_depth': None, 'clf__max_samples': None, 'clf__n_estimators': 100}",0.7884116693679092,0.8352512155591573,0.8132090761750406,0.5316476213631575,0.6052354323689115,0.7147510029668351,0.12260562446104036,2
110.82204689979554,3.313321483567012,0.9732666969299316,0.04339964600395173,RandomForestClassifier(n_estimators=250),,,50,"{'clf': RandomForestClassifier(n_estimators=250), 'clf__max_depth': None, 'clf__max_samples': None, 'clf__n_estimators': 50}",0.7760940032414911,0.8188006482982172,0.796191247974068,0.5292973498662776,0.6012642839776319,0.7043295066715374,0.11657706532009865,3
370.7956421852112,12.99806072557753,5.452152395248413,1.0112233989866348,RandomForestClassifier(n_estimators=250),,0.6,250,"{'clf': RandomForestClassifier(n_estimators=250), 'clf__max_depth': None, 'clf__max_samples': 0.6, 'clf__n_estimators': 250}",0.7894651539708266,0.836061588330632,0.8181523500810373,0.5151146770402788,0.5613096685306751,0.7040206875906898,0.13697701155247333,4
152.20311617851257,4.923216509332037,1.8879087924957276,0.15219432246230036,RandomForestClassifier(n_estimators=250),,0.6,100,"{'clf': RandomForestClassifier(n_estimators=250), 'clf__max_depth': None, 'clf__max_samples': 0.6, 'clf__n_estimators': 100}",0.7792544570502431,0.8236628849270664,0.8050243111831442,0.5147094578166789,0.5595267039468352,0.6964355629847935,0.13160979437774373,5
75.54610066413879,2.1671116597432287,0.9488967418670654,0.07268682051345171,RandomForestClassifier(n_estimators=250),,0.6,50,"{'clf': RandomForestClassifier(n_estimators=250), 'clf__max_depth': None, 'clf__max_samples': 0.6, 'clf__n_estimators': 50}",0.759805510534846,0.8126418152350081,0.7939222042139384,0.5223275792203582,0.5266229029905178,0.6830640024389337,0.13059802822429387,6
258.2466568470001,8.60681210520623,5.3305216312408445,0.8831876817951398,RandomForestClassifier(n_estimators=250),,0.4,250,"{'clf': RandomForestClassifier(n_estimators=250), 'clf__max_depth': None, 'clf__max_samples': 0.4, 'clf__n_estimators': 250}",0.7792544570502431,0.8282820097244733,0.8059157212317666,0.4896669097982008,0.49971634654348,0.6805670888696327,0.15259164032544498,7
106.75257196426392,3.0206218041613058,1.707973051071167,0.16897353549581495,RandomForestClassifier(n_estimators=250),,0.4,100,"{'clf': RandomForestClassifier(n_estimators=250), 'clf__max_depth': None, 'clf__max_samples': 0.4, 'clf__n_estimators': 100}",0.7716369529983792,0.820421393841167,0.7967585089141005,0.48302131453116137,0.47167517627036226,0.6687026693110341,0.15704122688931363,8
54.308965635299685,1.4633467780233382,0.9439242839813232,0.11033313296293631,RandomForestClassifier(n_estimators=250),,0.4,50,"{'clf': RandomForestClassifier(n_estimators=250), 'clf__max_depth': None, 'clf__max_samples': 0.4, 'clf__n_estimators': 50}",0.7491085899513776,0.8027552674230146,0.7758508914100486,0.48439905989140125,0.44330983061836454,0.6510847278588414,0.1543591561959011,9
436.9742434024811,6.496605042751967,3.4086211204528807,0.1395916967310525,RandomForestClassifier(n_estimators=250),12,,250,"{'clf': RandomForestClassifier(n_estimators=250), 'clf__max_depth': 12, 'clf__max_samples': None, 'clf__n_estimators': 250}",0.7547811993517017,0.8109400324149109,0.7864667747163695,0.45465596887916365,0.4227246940594862,0.6459137338843265,0.17043112491785875,10
137.56503429412842,3.788633456152523,3.8000442504882814,0.46848909035810604,RandomForestClassifier(n_estimators=250),,0.2,250,"{'clf': RandomForestClassifier(n_estimators=250), 'clf__max_depth': None, 'clf__max_samples': 0.2, 'clf__n_estimators': 250}",0.762803889789303,0.816288492706645,0.793354943273906,0.4596806872518032,0.387551665451009,0.6439359356945332,0.1821229940739449,11
177.1875053882599,3.6758245312047415,1.7900607109069824,0.12890247997819915,RandomForestClassifier(n_estimators=250),12,,100,"{'clf': RandomForestClassifier(n_estimators=250), 'clf__max_depth': 12, 'clf__max_samples': None, 'clf__n_estimators': 100}",0.749513776337115,0.8039708265802269,0.7851701782820097,0.4576545911338034,0.42094172947564634,0.6434502203617603,0.1680065080622931,12
83.69045968055725,1.4915800072342305,0.7458993911743164,0.026725442372637534,RandomForestClassifier(n_estimators=250),12,,50,"{'clf': RandomForestClassifier(n_estimators=250), 'clf__max_depth': 12, 'clf__max_samples': None, 'clf__n_estimators': 50}",0.7427066450567261,0.7939222042139384,0.7747974068071313,0.46041008185428317,0.40756949509684737,0.6358811666057853,0.16649486186503545,13
288.46458687782285,5.82815904640478,3.425185489654541,0.39770576366164884,RandomForestClassifier(n_estimators=250),12,0.6,250,"{'clf': RandomForestClassifier(n_estimators=250), 'clf__max_depth': 12, 'clf__max_samples': 0.6, 'clf__n_estimators': 250}",0.7514586709886548,0.8059157212317666,0.7860615883306321,0.44971229435124405,0.38041980711564954,0.6347136164035894,0.18151397063443006,14
